id	name	email	url	avatar_url	description
1	Google		https://api.github.com/orgs/google	https://avatars.githubusercontent.com/u/1342004?v=3	
2	Facebook		https://api.github.com/orgs/facebook	https://avatars.githubusercontent.com/u/69631?v=3	We work hard to contribute our work back to the web, mobile, big data, & infrastructure communities. NB: members must have two-factor auth.
3	Bootstrap		https://api.github.com/orgs/twbs	https://avatars.githubusercontent.com/u/2918581?v=3	Source code and more for the most popular front-end framework in the world.
4	Twitter, Inc.	opensource@twitter.com	https://api.github.com/orgs/twitter	https://avatars.githubusercontent.com/u/50278?v=3	Working with and contributing to the open source community
5	GitHub	support@github.com	https://api.github.com/orgs/github	https://avatars.githubusercontent.com/u/9919?v=3	How people build software.
6	Mozilla		https://api.github.com/orgs/mozilla	https://avatars.githubusercontent.com/u/131524?v=3	This technology could fall into the right hands.
7	jQuery Foundation		https://api.github.com/orgs/jquery	https://avatars.githubusercontent.com/u/70142?v=3	
8	H5BP		https://api.github.com/orgs/h5bp	https://avatars.githubusercontent.com/u/1136800?v=3	
9	Angular		https://api.github.com/orgs/angular	https://avatars.githubusercontent.com/u/139426?v=3	
10	vuejs		https://api.github.com/orgs/vuejs	https://avatars.githubusercontent.com/u/6128107?v=3	null
11	Square		https://api.github.com/orgs/square	https://avatars.githubusercontent.com/u/82592?v=3	
12	thoughtbot, inc.		https://api.github.com/orgs/thoughtbot	https://avatars.githubusercontent.com/u/6183?v=3	
13	Ruby on Rails		https://api.github.com/orgs/rails	https://avatars.githubusercontent.com/u/4223?v=3	
14	Joyent		https://api.github.com/orgs/joyent	https://avatars.githubusercontent.com/u/10161?v=3	
15	HubSpot		https://api.github.com/orgs/HubSpot	https://avatars.githubusercontent.com/u/326419?v=3	
16	The Apache Software Foundation		https://api.github.com/orgs/apache	https://avatars.githubusercontent.com/u/47359?v=3	
17	Automattic		https://api.github.com/orgs/Automattic	https://avatars.githubusercontent.com/u/887802?v=3	We are passionate about making the web a better place.
18	Docker		https://api.github.com/orgs/docker	https://avatars.githubusercontent.com/u/5429470?v=3	
19	Fort Awesome	admin@fortawesome.com	https://api.github.com/orgs/FortAwesome	https://avatars.githubusercontent.com/u/1505683?v=3	Tools to help you be moar betters on the web.
20	zurb		https://api.github.com/orgs/zurb	https://avatars.githubusercontent.com/u/156122?v=3	
21	elasticsearch	null	https://api.github.com/orgs/elasticsearch	https://avatars.githubusercontent.com/u/141304?v=3	null
22	AngularUI		https://api.github.com/orgs/angular-ui	https://avatars.githubusercontent.com/u/1530011?v=3	null
23	Facebook Archive		https://api.github.com/orgs/facebookarchive	https://avatars.githubusercontent.com/u/7560860?v=3	
24		homebrew-discuss@googlegroups.com	https://api.github.com/orgs/Homebrew	https://avatars.githubusercontent.com/u/1503512?v=3	
25	Ionic	hi@ionic.io	https://api.github.com/orgs/driftyco	https://avatars.githubusercontent.com/u/3171503?v=3	Powerful tools and services for building cross-platform mobile apps
26	Yahoo Inc.		https://api.github.com/orgs/yahoo	https://avatars.githubusercontent.com/u/16574?v=3	
27	Adobe Systems Incorporated		https://api.github.com/orgs/adobe	https://avatars.githubusercontent.com/u/476009?v=3	Open source from Adobe
28	Atom	atom@github.com	https://api.github.com/orgs/atom	https://avatars.githubusercontent.com/u/1089146?v=3	
29	Spring		https://api.github.com/orgs/spring-projects	https://avatars.githubusercontent.com/u/317776?v=3	
30	Meteor Development Group		https://api.github.com/orgs/meteor	https://avatars.githubusercontent.com/u/789528?v=3	
31	StrongLoop		https://api.github.com/orgs/strongloop	https://avatars.githubusercontent.com/u/3020012?v=3	An IBM Company
32	LearnBoost	null	https://api.github.com/orgs/LearnBoost	https://avatars.githubusercontent.com/u/204174?v=3	null
33	Etsy, Inc.	null	https://api.github.com/orgs/etsy	https://avatars.githubusercontent.com/u/193389?v=3	null
34	Netflix, Inc.	netflixoss@netflix.com	https://api.github.com/orgs/Netflix	https://avatars.githubusercontent.com/u/913567?v=3	Netflix Open Source Platform
35	grunt	null	https://api.github.com/orgs/gruntjs	https://avatars.githubusercontent.com/u/1630826?v=3	null
36	The Laravel PHP Framework	null	https://api.github.com/orgs/laravel	https://avatars.githubusercontent.com/u/958072?v=3	null
37	Filament Group	null	https://api.github.com/orgs/filamentgroup	https://avatars.githubusercontent.com/u/30614?v=3	null
38	Codrops	null	https://api.github.com/orgs/codrops	https://avatars.githubusercontent.com/u/310036?v=3	null
39	Plataformatec	opensource@plataformatec.com.br	https://api.github.com/orgs/plataformatec	https://avatars.githubusercontent.com/u/127679?v=3	We are a software consultancy specialised in Elixir and Ruby.  Creators of Elixir, Devise and Simple Form.
40	Moment.js		https://api.github.com/orgs/moment	https://avatars.githubusercontent.com/u/4129662?v=3	
41	mongodb		https://api.github.com/orgs/mongodb	https://avatars.githubusercontent.com/u/45120?v=3	
42		kf@gnor.net	https://api.github.com/orgs/nwjs	https://avatars.githubusercontent.com/u/10180421?v=3	
43	Shopify		https://api.github.com/orgs/Shopify	https://avatars.githubusercontent.com/u/8085?v=3	
